city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bucharest,44.4000,26.0833,Romania,RO,Bucureşti,primary,1883425,1883425
Cluj-Napoca,46.7800,23.5594,Romania,RO,Cluj,admin,324576,324576
Timişoara,45.7597,21.2300,Romania,RO,Timiş,admin,319279,319279
Braşov,45.6500,25.6000,Romania,RO,Braşov,admin,290743,290743
Iaşi,47.1622,27.5889,Romania,RO,Iaşi,admin,290422,290422
Constanţa,44.1733,28.6383,Romania,RO,Constanţa,admin,283872,283872
Craiova,44.3333,23.8167,Romania,RO,Dolj,admin,269506,269506
Galaţi,45.4233,28.0425,Romania,RO,Galaţi,admin,249432,249432
Ploieşti,44.9386,26.0225,Romania,RO,Prahova,admin,209945,209945
Oradea,47.0722,21.9211,Romania,RO,Bihor,admin,196367,196367
Brăila,45.2692,27.9575,Romania,RO,Brăila,admin,180302,180302
Arad,46.1667,21.3167,Romania,RO,Arad,admin,159074,159074
Piteşti,44.8667,24.8833,Romania,RO,Argeş,admin,155383,155383
Sibiu,45.8000,24.1500,Romania,RO,Sibiu,admin,147245,147245
Bacău,46.5833,26.9167,Romania,RO,Bacău,admin,144307,144307
Târgu-Mureş,46.5497,24.5597,Romania,RO,Mureş,admin,134290,134290
Baia Mare,47.6597,23.5819,Romania,RO,Maramureş,admin,123738,123738
Buzău,45.1517,26.8167,Romania,RO,Buzău,admin,115494,115494
Botoşani,47.7486,26.6694,Romania,RO,Botoşani,admin,106847,106847
Satu Mare,47.7900,22.8900,Romania,RO,Satu Mare,admin,102411,102411
Râmnicu Vâlcea,45.1047,24.3756,Romania,RO,Vâlcea,admin,98776,98776
Drobeta-Turnu Severin,44.6361,22.6556,Romania,RO,Mehedinţi,admin,92617,92617
Suceava,47.6514,26.2556,Romania,RO,Suceava,admin,92121,92121
Piatra Neamţ,46.9275,26.3708,Romania,RO,Neamţ,admin,85055,85055
Reşiţa,45.2970,21.8865,Romania,RO,Caraş-Severin,admin,83324,81228
Târgu Jiu,45.0342,23.2747,Romania,RO,Gorj,admin,82504,82504
Târgovişte,44.9244,25.4572,Romania,RO,Dâmboviţa,admin,79610,79610
Focşani,45.6997,27.1797,Romania,RO,Vrancea,admin,79315,79315
Bistriţa,47.1333,24.4833,Romania,RO,Bistriţa-Năsăud,admin,75076,75076
Tulcea,45.1900,28.8000,Romania,RO,Tulcea,admin,73707,73707
Slatina,44.4297,24.3642,Romania,RO,Olt,admin,70293,70293
Călăraşi,44.2000,27.3333,Romania,RO,Călăraşi,admin,65181,65181
Alba Iulia,46.0764,23.5728,Romania,RO,Alba,admin,63536,63536
Giurgiu,43.9000,25.9667,Romania,RO,Giurgiu,admin,61353,61353
Deva,45.8719,22.9117,Romania,RO,Hunedoara,,61123,61123
Zalău,47.1911,23.0572,Romania,RO,Sălaj,admin,56202,56202
Sfântu-Gheorghe,45.8636,25.7875,Romania,RO,Covasna,admin,56006,56006
Vaslui,46.6383,27.7292,Romania,RO,Vaslui,admin,55407,55407
Slobozia,44.5639,27.3661,Romania,RO,Ialomiţa,admin,45891,45891
Alexandria,43.9686,25.3333,Romania,RO,Teleorman,admin,45434,45434
Voluntari,44.4925,26.1914,Romania,RO,Bucureşti,,42944,42944
Miercurea-Ciuc,46.3594,25.8039,Romania,RO,Harghita,admin,38966,38966
Sighetu Marmaţiei,47.9309,23.8947,Romania,RO,Maramureş,,37640,37640
